Name,Date,Time,Lat,Lon,Wind (mph),Pressure,Storm Type,,
Super Typhoon Nepartak,Jul/03/2016,00 GMT,8.7,145.2,30,-999,Tropical Depression,,
Super Typhoon Nepartak,Jul/03/2016,06 GMT,9.2,145,40,-999,Tropical Storm,,
Super Typhoon Nepartak,Jul/03/2016,12 GMT,10,144.3,45,-999,Tropical Storm,,
Super Typhoon Nepartak,Jul/03/2016,18 GMT,10.9,143,50,-999,Tropical Storm,,
Super Typhoon Nepartak,Jul/04/2016,00 GMT,11.8,141.9,50,-999,Tropical Storm,,
Super Typhoon Nepartak,Jul/04/2016,06 GMT,12.7,140.8,50,-999,Tropical Storm,,
Super Typhoon Nepartak,Jul/04/2016,12 GMT,13.5,139.7,60,-999,Tropical Storm,,
Super Typhoon Nepartak,Jul/04/2016,18 GMT,14.8,138.3,70,-999,Tropical Storm,,
Super Typhoon Nepartak,Jul/05/2016,00 GMT,15.4,136.7,75,-999,Typhoon,,
Super Typhoon Nepartak,Jul/05/2016,06 GMT,16.3,135.1,100,-999,Typhoon,,
Super Typhoon Nepartak,Jul/05/2016,12 GMT,17.2,133.5,140,-999,Typhoon,,
Super Typhoon Nepartak,Jul/05/2016,18 GMT,18,131.8,150,-999,Super Typhoon,,
Super Typhoon Nepartak,Jul/06/2016,00 GMT,18.7,130.1,160,-999,Super Typhoon,,
Super Typhoon Nepartak,Jul/06/2016,06 GMT,19.5,128.4,175,-999,Super Typhoon,,
Super Typhoon Nepartak,Jul/06/2016,12 GMT,20.2,126.9,175,-999,Super Typhoon,,
Super Typhoon Nepartak,Jul/06/2016,18 GMT,20.7,125.6,175,-999,Super Typhoon,,
Super Typhoon Nepartak,Jul/07/2016,00 GMT,21.3,124.3,175,-999,Super Typhoon,,
Super Typhoon Nepartak,Jul/07/2016,06 GMT,21.6,123.4,165,-999,Super Typhoon,,
Super Typhoon Nepartak,Jul/07/2016,12 GMT,22,122.6,160,-999,Super Typhoon,,
Super Typhoon Nepartak,Jul/07/2016,18 GMT,22.4,121.8,150,-999,Super Typhoon,,
